Data;Preço médio - recebido pelo agricultor - arroz (em casca) - 50 kg - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRARIR12;Preço médio - recebido pelo agricultor - boi gordo - arroba - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRBGO12;Preço médio - recebido pelo agricultor - cana-de-açúcar - tonelada - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRCAN12;Preço médio - recebido pelo agricultor - mandioca - tonelada - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRMAN12;Preço médio - recebido pelo agricultor - milho - 60 kg - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRMI12;Preço médio - recebido pelo agricultor - soja - 60 kg - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRSO12;
1990.01;;0,00015196;5,5407E-05;0,000160727;3,636E-05;5,9571E-05;
1990.02;;0,000257793;9,2044E-05;0,000272727;5,5175E-05;9,188E-05;
1990.03;;0,000433109;0,000173418;0,000297273;8,5575E-05;0,000146811;
1990.04;0,000205764;0,000387131;0,000210102;0,000367651;0,000105651;0,000170258;
1990.05;0,000221509;0,000450658;0,000207596;0,000544611;0,000136196;0,000203665;
1990.06;0,000267244;0,000597142;0,000202884;0,000609949;0,000163229;0,00020472;
1990.07;0,000292589;0,000670513;0,000209469;0,000648927;0,000170044;0,000237975;
1990.08;0,000332291;0,000754095;0,000248916;0,000679615;0,000216505;0,00026276;
1990.09;0,000405673;0,000996775;0,000295004;0,000731782;0,000232713;0,000275211;
1990.10;0,0005012;0,001006695;0,000347495;0,000875625;0,000261251;0,000343473;
1990.11;0,000677156;0,000953236;0,000420327;0,000927676;0,000376964;0,00042892;
1990.12;0,000794742;0,000950535;0,000503775;0,00105528;0,00039932;0,000566415;
1991.01;0,000976182;0,001200425;0,000599062;0,001426575;0,000429189;0,0006732;
1991.02;0,001573455;0,001542938;0,000885564;0,002077985;0,000475982;0,000854585;
1991.03;0,001634182;0,001603669;0,00093076;0,002456149;0,000512578;0,000870156;
1991.04;0,001664909;0,001739018;0,000931029;0,002585367;0,000624218;0,000948218;
1991.05;0,00177;0,001807985;0,000933633;0,002769451;0,000677455;0,001021964;
1991.06;0,001852545;0,002015382;0,000994316;0,002773753;0,0006864;0,001080873;
1991.07;0,001973273;0,002657487;0,001088931;0,002882789;0,000756655;0,001136945;
1991.08;0,001979636;0,003374891;0,001248895;0,003271604;0,000898255;0,001363418;
1991.09;0,002265636;0,003804051;0,001427618;0,003712524;0,001022618;0,001738036;
1991.10;0,002954182;0,005491418;0,001878665;0,005353415;0,001505236;0,002502327;
1991.11;0,003969091;0,006546705;0,002362625;0,007513044;0,001866109;0,002776582;
1991.12;0,004357273;0,006601011;0,003281542;0,008215771;0,0020058;0,003236073;
1992.01;0,005285818;0,008557811;0,00428788;0,018483644;0,002744727;0,004553673;
1992.02;0,00685;0,009877204;0,005307724;0,021581665;0,003032727;0,005555127;
1992.03;0,006862727;0,011062207;0,00617084;0,03368288;0,003078764;0,006549818;
1992.04;0,007123455;0,01472916;0,007645902;0,037087764;0,003593236;0,007499564;
1992.05;0,008955818;0,018740476;0,009439251;0,037942462;0,004537964;0,008892655;
1992.06;0,010934727;0,020682953;0,011044782;0,041977007;0,006063273;0,011401964;
1992.07;0,013617818;0,02418196;0,013839153;0,048124535;0,007224873;0,013823564;
1992.08;0,016484364;0,035094698;0,01788368;0,062333945;0,009315927;0,0177672;
1992.09;0,021174;0,049581138;0,021397673;0,088619382;0,013236436;0,025393745;
1992.10;0,026072364;0,060350709;0,026070189;0,127232804;0,016949891;0,031031564;
1992.11;0,032845818;0,064592193;0,028191345;0,177420847;0,021459927;0,037309745;
1992.12;0,043609273;0,087403596;0,034896451;0,223398273;0,027894982;0,047464145;
1993.01;0,054923273;0,114385905;0,044941709;0,288121487;0,033968073;0,059348291;
1993.02;0,072390545;0,137212396;0,059886535;0,316105764;0,038350909;0,071724655;
1993.03;0,083659818;0,178562545;0,073791604;0,353410171;0,0438;0,081675709;
1993.04;0,099886909;0,231109818;0,093901695;0,412996727;0,058564364;0,100640291;
1993.05;0,123708727;0,282892364;0,11671188;0,430733818;0,076927418;0,128480509;
1993.06;0,154457818;0,341574545;0,171967636;0,429346545;0,100705091;0,177518545;
1993.07;0,211025091;0,513160364;0,222342909;0,525118909;0,139036;0,276539273;
1993.08;0,284727273;0,768276364;0,292352727;0,758727273;0,201163636;0,367854545;
1993.09;0,423454545;1,06064;0,401763636;1,413807273;0,263563636;0,468872727;
1993.10;0,635090909;1,368865455;0,565781818;2,071654545;0,359563636;0,635127273;
1993.11;0,906181818;1,760036364;0,765701818;2,53708;0,498545455;0,850909091;
1993.12;1,1;2,444916364;1,046374545;2,994563636;0,706036364;1,192581818;
1994.01;1,628181818;3,384578182;1,478821818;4,870309091;0,929018182;1,697890909;
1994.02;2,066363636;4,416443636;2,129378182;6,186658182;1,0968;2,297454545;
1994.03;2,909454545;6,719214545;3,287694545;8,274214545;1,505890909;3,106909091;
1994.04;4,111272727;9,072469091;4,580363636;11,093123636;2,186836364;4,128654545;
1994.05;5,862727273;11,384898182;5,856567273;15,375847273;3,128072727;5,873454545;
1994.06;9,283090909;19,658367273;8,50616;21,562927273;4,539490909;9,005454545;
1994.07;11,86;20,75;10,4;27,42;5,62;10,43;
1994.08;11,92;23,34;10,4;28,77;5,61;10,29;
1994.09;12,02;23,78;10,45;29,67;5,6;10,33;
1994.10;12,18;28,69;10,47;32,39;6;10,09;
1994.11;12,23;30,46;10,43;33,17;6,31;10,02;
1994.12;12,33;27,82;10,36;33,2;6,33;10,15;
1995.01;12,52;24,76;10,78;32,99;6,16;10,29;
1995.02;12,56;24,4;10,86;32,94;5,22;10,23;
1995.03;11,24;23,23;10,97;32;4,48;8,75;
1995.04;10,96;22,24;11,12;31,11;4,89;8,58;
1995.05;11,22;21,02;11,36;28,68;5,13;8,12;
1995.06;11,08;20,55;11,28;26,15;5,17;8,3;
1995.07;11,8;22,8;11,64;25,02;5,52;9,48;
1995.08;11,97;23,75;11,7;25,71;5,73;10,34;
1995.09;12,03;22,7;12,01;26,95;5,53;10,46;
1995.10;12,03;22,95;12,74;29,93;6,04;11,05;
1995.11;12,54;23,83;13,09;33,7;6,4;11,89;
1995.12;13,91;21,09;13,08;39,49;6,4;12,46;
1996.01;15,63;20,7;13,18;43,37;6,75;13,42;
1996.02;14,57;21,09;13,33;48,81;6,23;13;
1996.03;13,2;20,73;13,55;47,8;6,5;11,89;
1996.04;12,4;21,13;14,2;50,77;7,39;12,66;
1996.05;12,23;20,66;14,96;52,27;8,25;13,45;
1996.06;12,43;20,81;15,31;53,64;7,99;13,02;
1996.07;12,72;22,72;15,29;54,49;7,91;13,03;
1996.08;13,03;23,39;15,67;57,72;8,05;13,66;
1996.09;13;23,2;15,43;58,62;8,12;15,86;
1996.10;13,36;24,01;15,16;60,08;7,97;16,03;
1996.11;14,08;22,37;15,33;64,63;7,4;16,04;
1996.12;14,37;21,96;15,64;65,86;6,63;16,13;
1997.01;14,63;22,15;15,5;66,69;5,84;15,52;
1997.02;14,58;22,66;15,56;64,38;5,63;14,82;
1997.03;14,98;22,89;15,37;60,23;5,79;15,09;
1997.04;14,78;23,47;15,37;53,8;6,11;15,83;
1997.05;14,92;22,92;15,53;51,97;6,31;15,89;
1997.06;15,09;23,04;16,56;49,39;6,16;15,68;
1997.07;14,75;24,39;16,77;47,5;6,12;14,89;
1997.08;14,88;24,45;16,76;46,3;6,24;15,97;
1997.09;15,28;24,16;16,78;50,48;6,44;17,1;
1997.10;15,99;24,71;16,77;55,44;6,67;17,44;
1997.11;16,03;25,02;16,81;58,12;6,73;17,34;
1997.12;16,23;25,27;16,79;55,95;6,78;17,77;
1998.01;16,28;25,21;16,78;53,22;7,18;16,44;
1998.02;15,04;25,11;16,86;51,74;7,13;14,96;
1998.03;14,55;25,37;16,83;50,43;7,01;13,34;
1998.04;15,58;25,38;16,75;48,82;7,14;12,87;
1998.05;16,48;24,75;16,74;47,82;7,31;12,76;
1998.06;17,12;24,51;16,76;51,83;7,16;12,22;
1998.07;18,04;25,13;16,67;51,94;7,1;12,27;
1998.08;18,15;26,01;16,36;48,37;7,05;11,72;
1998.09;19,76;27,44;16,42;47,91;6,97;12,04;
1998.10;20,85;27,37;16,49;49,28;7;12,37;
1998.11;21,49;27,17;16,67;49,11;7,24;12,9;
1998.12;21,84;27,26;16,18;52,94;7,72;13,07;
1999.01;22,47;27,59;16,54;52,98;8;13,28;
1999.02;22,76;29,89;16,42;60,16;8,23;15,58;
1999.03;20,81;29,96;16,51;66,97;8,23;15,71;
1999.04;18,31;29,1;15,87;71,08;8,17;13,77;
1999.05;18,07;27,72;14,69;65,18;8,18;13,33;
1999.06;16,13;27,83;14,12;55,5;8,18;13,83;
1999.07;15,8;29,79;13,31;55,22;8,18;13,77;
1999.08;15,94;30,82;12,57;59,82;8,15;15,18;
1999.09;16,02;32,56;12,13;64,77;8,54;17,56;
1999.10;16;36,6;12,43;72,73;9,47;18,47;
1999.11;15,92;38,57;12,53;85,88;11,02;18,86;
1999.12;15,74;37,62;12,86;105,95;11,33;18,16;
2000.01;15,71;38,2;13,44;111,95;11,94;18,04;
2000.02;15,62;37,93;13,89;116,04;11,38;18,1;
2000.03;15,29;35,98;13,52;104,6;10,73;17,32;
2000.04;14,97;36,04;14,19;81,82;10,54;17,14;
2000.05;13,98;35,13;15,1;73,02;10,88;17,45;
