Data;IPA-EP-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPADI12;
1944.01;9,714567E-14;
1944.02;9,714567E-14;
1944.03;9,664397E-14;
1944.04;9,949576E-14;
1944.05;9,965419E-14;
1944.06;1,015025E-13;
1944.07;1,030076E-13;
1944.08;1,04856E-13;
1944.09;1,075362E-13;
1944.10;1,075362E-13;
1944.11;1,071929E-13;
1944.12;1,076946E-13;
1945.01;1,120515E-13;
1945.02;1,1423E-13;
1945.03;1,137283E-13;
1945.04;1,128965E-13;
1945.05;1,155766E-13;
1945.06;1,1658E-13;
1945.07;1,185869E-13;
1945.08;1,175835E-13;
1945.09;1,175835E-13;
1945.10;1,185869E-13;
1945.11;1,184152E-13;
1945.12;1,184152E-13;
1946.01;1,207653E-13;
1946.02;1,219404E-13;
1946.03;1,241188E-13;
1946.04;1,261256E-13;
1946.05;1,279608E-13;
1946.06;1,31816E-13;
1946.07;1,349979E-13;
1946.08;1,375064E-13;
1946.09;1,380213E-13;
1946.10;1,396848E-13;
1946.11;1,396848E-13;
1946.12;1,417048E-13;
1947.01;1,44385E-13;
1947.02;1,453884E-13;
1947.03;1,455468E-13;
1947.04;1,440417E-13;
1947.05;1,44385E-13;
1947.06;1,440417E-13;
1947.07;1,420349E-13;
1947.08;1,407014E-13;
1947.09;1,412031E-13;
1947.10;1,425366E-13;
1947.11;1,453884E-13;
1947.12;1,455468E-13;
1948.01;1,48227E-13;
1948.02;1,539306E-13;
1948.03;1,539306E-13;
1948.04;1,520822E-13;
1948.05;1,510788E-13;
1948.06;1,530856E-13;
1948.07;1,519237E-13;
1948.08;1,554357E-13;
1948.09;1,55264E-13;
1948.10;1,557657E-13;
1948.11;1,564391E-13;
1948.12;1,559374E-13;
1949.01;1,59951E-13;
1949.02;1,609676E-13;
1949.03;1,59951E-13;
1949.04;1,604659E-13;
1949.05;1,577858E-13;
1949.06;1,571124E-13;
1949.07;1,582875E-13;
1949.08;1,596209E-13;
1949.09;1,61971E-13;
1949.10;1,629744E-13;
1949.11;1,646512E-13;
1949.12;1,639778E-13;
1950.01;1,623011E-13;
1950.02;1,587892E-13;
1950.03;1,557657E-13;
1950.04;1,535873E-13;
1950.05;1,539306E-13;
1950.06;1,557657E-13;
1950.07;1,614693E-13;
1950.08;1,66658E-13;
1950.09;1,691665E-13;
1950.10;1,758735E-13;
1950.11;1,792138E-13;
1950.12;1,825673E-13;
1951.01;1,875975E-13;
1951.02;1,892743E-13;
1951.03;1,926146E-13;
1951.04;1,976448E-13;
1951.05;2,009983E-13;
1951.06;1,993215E-13;
1951.07;1,959681E-13;
1951.08;1,993215E-13;
1951.09;2,009983E-13;
1951.10;2,076921E-13;
1951.11;2,110456E-13;
1951.12;2,143991E-13;
1952.01;2,244463E-13;
1952.02;2,194161E-13;
1952.03;2,177394E-13;
1952.04;2,227696E-13;
1952.05;2,210928E-13;
1952.06;2,210928E-13;
1952.07;2,261231E-13;
1952.08;2,277866E-13;
1952.09;2,244463E-13;
1952.10;2,277866E-13;
1952.11;2,344936E-13;
1952.12;2,344936E-13;
1953.01;2,361704E-13;
1953.02;2,395106E-13;
1953.03;2,411874E-13;
1953.04;2,395106E-13;
1953.05;2,395106E-13;
1953.06;2,445409E-13;
1953.07;2,713424E-13;
1953.08;2,713424E-13;
1953.09;2,746959E-13;
1953.10;2,780362E-13;
1953.11;2,864199E-13;
1953.12;2,931137E-13;
1954.01;2,933602E-13;
1954.02;2,96432E-13;
1954.03;2,96432E-13;
1954.04;3,071834E-13;
1954.05;3,117912E-13;
1954.06;3,225426E-13;
1954.07;3,271504E-13;
1954.08;3,33294E-13;
1954.09;3,409736E-13;
1954.10;3,440455E-13;
1954.11;3,51725E-13;
1954.12;3,578687E-13;
1955.01;3,686201E-13;
1955.02;3,655483E-13;
1955.03;3,686201E-13;
1955.04;3,762997E-13;
1955.05;3,747638E-13;
1955.06;3,778356E-13;
1955.07;3,839793E-13;
1955.08;3,931948E-13;
1955.09;4,024103E-13;
1955.10;4,070181E-13;
1955.11;4,116258E-13;
1955.12;4,162336E-13;
1956.01;4,146977E-13;
1956.02;4,223772E-13;
