   ;TIPO_INFRACAO;DATA_AUTUACAO;SIG_UF;NOM_MUNICIPIO;NUM_AUTO_INFRACAO;SER_AUTO_INFRACAO;VALOR_AUTO;VALOR_AUTO_FORMATADO;DES_TIPO_LEGISLACAO;ARTIGO;PARAGRAFO;COM_ARTIGO;COM_PARAGRAFO
196606;Flora;09/04/2013 17:00:00;PA;NOVO PROGRESSO;729042;D;1295000;1.295.000,00;6514/2008;3º;II/VII;50;-
196607;Flora;09/04/2013 17:15:00;MT;BRASNORTE;620472;D;24000;24.000,00;6514/2008;50;;;
196608;Flora;09/04/2013 17:15:00;MT;BRASNORTE;620472;D;24000;24.000,00;9605/98;70;1º;72;
196609;Fauna;09/04/2013 17:55:00;AM;HUMAITA;628600;D;2000;2.000,00;6514/2008;3°;II-IV;24;I-3-III
196610;Fauna;09/04/2013 17:55:00;AM;HUMAITA;628600;D;2000;2.000,00;9605/98;70;1°;72;II-IV
196611;Flora;10/04/2013 08:15:00;PA;ALTAMIRA;728092;D;2290000;2.290.000,00;6514/2008;50;-;3º;II/VII
196612;Flora;10/04/2013 08:15:00;PA;ALTAMIRA;728092;D;2290000;2.290.000,00;Constituição Federal;225;4º;-;-
196613;Flora;10/04/2013 08:15:00;PA;ALTAMIRA;728092;D;2290000;2.290.000,00;9605/98;70;-;-;-
196614;Flora;10/04/2013 08:30:00;TO;DIVINOPOLIS DO TOCANTINS;502276;D;46000;46.000,00;9605/98;70;1º;72;
196615;Flora;10/04/2013 08:30:00;TO;DIVINOPOLIS DO TOCANTINS;502276;D;46000;46.000,00;6514/2008;3;;;
196616;Flora;10/04/2013 08:45:00;PA;ALTAMIRA;729043;D;670000;670.000,00;6514/2008;3º;II E VII;50;-
196617;Flora;10/04/2013 08:45:00;PA;ALTAMIRA;729043;D;670000;670.000,00;9605/98;70;-;72;II E VII
196618;Flora;10/04/2013 08:45:00;PA;ALTAMIRA;729043;D;670000;670.000,00;Constituição Federal;225;4º;-;-
196619;Flora;10/04/2013 08:50:00;PA;ALTAMIRA;728093;D;2215000;2.215.000,00;Constituição Federal;225;4º;-;-
196620;Flora;10/04/2013 08:50:00;PA;ALTAMIRA;728093;D;2215000;2.215.000,00;9605/98;70;-;-;-
196621;Flora;10/04/2013 08:50:00;PA;ALTAMIRA;728093;D;2215000;2.215.000,00;6514/2008;50;-;3º;II E VII
