terrai_codigo;terrai_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;data_em_estudo;tit_em_estudo;data_delimitada;tit_delimitada;data_declarada;tit_declarada;data_homologada;tit_homologada;data_regularizada;tit_regularizada
101;Acapuri de Cima;Fonte Boa                               ;AM;19885,0378;Declarada;Tradicionalmente ocupada;1997-12-03;Portaria nº 1280, de 03 de dezembro de 1997;1999-08-23;Despacho nº 46, de 23 de agosto de 1999;2000-04-13;Portaria nº 287, de 13 de abril de 2000;;;;
201;Acimã;Lábrea                                  ;AM;40686,034;Regularizada;Tradicionalmente ocupada;;;;;1992-05-28;Portaria Declaratoria nº 252, de ;1997-11-03;Decreto de 3 de novembro de 1997;1997-12-09;Matr. R1-1963  Lv. 2-H  Fl. 25
601;Aconã;Traipu                                  ;AL;267,7862;Regularizada;Reserva Indígena;;;;;;;;;2005-04-01;R-2-1.020, Lv. 2-F/RG, Fl. 155
301;Água Limpa;Rochedo                                 ;MS;0;Em Estudo;Tradicionalmente ocupada;1999-10-08;Portaria nº 948, de 8 de outubro de 1999;;;;;;;;
401;Água Preta/Inari;Pauini                                  ;AM;139763,6705;Regularizada;Tradicionalmente ocupada;1986-09-05;Portaria nº 1347 de 05 de setembro de 1986;1993-07-30;Despacho nº 16, de 30 de Julho de 1993;1993-09-30;Portaria Declaratória nº 362, de 30 de setembro de 1993;1997-11-03;Decreto de 3 de novembro de 1997;1999-05-17;Matr. 276  Lv. 2-A  Fl. 83/83V
501;Águas Belas;Prado                                   ;BA;1189,0649;Regularizada;Tradicionalmente ocupada;;;1995-11-28;Despacho nº 96, de 28 de Novembro de 1995;1996-05-17;Portaria Declaratória nº 312 de 17.05.96;1998-09-08;Decreto de 8 de setembro de 1998;2000-01-11;Matr. 13.751  Lv. RG  Fl. -
72801;Águas Claras;Major Gercino                           ;SC;165;Regularizada;Reserva Indígena;;;;;;;;;;
701;Aldeia Kondá;Chapecó                                 ;SC;2300;Encaminhada RI;Reserva Indígena;1998-07-20;Portaria nº 761, de 20 de julho de 1998;;;;;;;;
801;Aldeia Limão Verde;Amambaí                                 ;MS;668,0796;Regularizada;Tradicionalmente ocupada;1999-06-07;Portaria nº 384, de 07 de Junho de 1999;;;;;;;;
901;Aldeia Velha;Porto Seguro                            ;BA;1997,5526;Declarada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;2008-06-12;Despacho n° 24, de 12 de junho de 2008;2010-12-31;Portaria nº 4221, de 31 de dezembro de 2010;;;;
1001;Alto Rio Guamá;Garrafão do Norte, Nova Esperança do Piriá, Paragominas, Santa Luzia do Pará;PA;279897,7;Regularizada;Tradicionalmente ocupada;;;;;1988-07-28;Portaria Interministerial nº 138, de 28 de Julho de 1988;1993-10-04;Decreto de 4 de outubro de 1993;1994-10-17;Matr. 4.849  Lv. 2-P  Fl. 189
1101;Alto Rio Negro;Japurá e São Gabriel da Cachoeira     ;AM;7999381,1683;Regularizada;Tradicionalmente ocupada;1996-11-25;Portaria nº 1074 de 05 de nobembro de 1996;1992-05-28;Despacho nº 12, de 28 de maio de 1992;1988-01-26;Portaria Interministerial nº 12, de 26 de Janeiro de 1988;1989-11-23;Decreto nº 98.437, de 23.11.89;1999-06-22;Matr. 14  Lv. 01  Fl. 14
1201;Alto Rio Purus;Manoel Urbano, Santa Rosa do Purus             ;AC;263129,8062;Regularizada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;1991-08-21;Despacho nº 04, de 21 de agosto de 1991;1991-10-23;Portaria Declaratória nº 543,  de 23/10/91;1996-01-05;Decreto de 05 de janeiro de 1996;1996-01-17;Matr. 2.062  Lv. 2-RG  Fl. 131
1301;Alto Sepatini;Lábrea                                  ;AM;26095,6979;Regularizada;Tradicionalmente ocupada;1986-09-05;Portaria nº 1347 de 05 de setembro de 1986;1991-11-08;Despacho nº 30, de 08 de Novembro de 1991;1992-05-28;Portaria nº 253, de 28 de Maio de 1992;1997-11-03;Decreto de 3 de novembro de 1997;1997-12-15;Matr. R1/1962  Lv. 2-H  Fl. 24
1401;Alto Tarauacá;Feijó, Jordão                  ;AC;142619,1069;Regularizada;Tradicionalmente ocupada;1998-05-22;Portaria nº 483, de 22 de maio de 1998;2000-04-18;Despacho nº 18, de 18 de abril de 2000;2001-04-20;Portaria nº 369, de 20 de abril de 2001;2004-10-27;Decreto de 27 de outubro de 2004;2007-07-04;Matr. 1.135, Lv. 2-E, Fls. 102
1501;Alto Turiaçu;Centro do Guilherme, Zé Doca, Araguanã, Maranhãozinho, Santa Luzia do Paruá, Centro Novo do Maranhão                  ;MA;530524,7417;Regularizada;Tradicionalmente ocupada;2009-07-10;Portaria nº 741, de 10 de Julho de 2009;;;1982-09-14;Portaria nº 1408, de 14 de Setembro de 1982;1982-12-28;Decreto nº  88002, de 28 de dezembro de 1982;1983-03-28;Matr. 487  Lv. 2-D  Fl. 41
1601;Amambai;Amambaí                                 ;MS;2429,5454;Regularizada;Tradicionalmente ocupada;1987-05-29;Portaria nº 1245 de 29 de maio de 1987;;;;;1991-10-29;Decreto nº 277,  de 29 de outubro de 1991;;
72901;Amaral/Tekoá Kuriy;Biguaçu                                 ;SC;501,36;Regularizada;Reserva Indígena;;;;;;;;;;
71701;Amba Porã;Miracatu, Sete Barras;SP;0;Em Estudo;Tradicionalmente ocupada;2011-11-03;Portaria nº 1509, de 3 de novembro de 2011;;;;;;;;
71101;Anacé;Caucaia                                 ;CE;0;Em Estudo;Tradicionalmente ocupada;2012-08-09;Portaria nº 996, de 9 de agosto de 2012;;;;;;;;
1801;Anambé;Moju                                    ;PA;7882,8329;Regularizada;Tradicionalmente ocupada;1984-11-09;Portaria nº 1793, de 09 de novembro de 1984;;;;;1991-12-24;Decreto de nº 380, de 24 de dezembro de 1991;1992-03-20;Matr. 4.024  Lv. 2-AT  Fl. 124V
